,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,58,163,0.0019143989366742704,4
1,859,0,4,13,0.0002024410949618714,0
2,298,0,30,45,0.000593789195456698,0
3,553,0,4,26,0.0004419833981647735,0
4,672,0,256,44,0.007468471954818558,121
5,971,0,3,24,0.00021881217971963116,0
6,27,0,29,21,0.0008533326364569831,0
7,231,0,20,14,0.001027018372131546,0
8,306,0,34,19,0.0014555860995673436,2
9,706,0,0,15,0.00015000000000000004,0
10,496,0,26,25,0.0013768095999570683,0
11,558,0,25,14,0.0011562341488811178,0
12,784,0,81,17,0.002503714676979438,3
13,239,0,35,10,0.0012139693742056169,2
14,578,0,138,20,0.004533671323077093,32
15,55,0,1,16,0.00015832209739846028,0
16,906,0,59,43,0.001867550037797677,11
17,175,0,2,48,0.0001576976176142459,0
18,14,0,11,43,0.0002805605842653064,0
19,77,0,21,12,0.0005349799087642376,0
20,31,0,71,28,0.0023717847182968006,0
21,481,0,4,17,0.00026093381343333634,1
22,310,0,21,16,0.0007085109558484191,0
23,311,0,26,19,0.001380687085244563,8
24,883,0,25,21,0.000800163954650808,0
25,788,0,51,19,0.0016355605442728968,1
26,45,0,5,23,0.00026177491693486505,0
27,103,0,28,20,0.000800743712393467,2
28,760,0,8,11,0.00037452640022149237,0
29,1,0,0,36,0.00015000000000000004,0
30,823,0,66,32,0.0021282963104266297,3
31,710,0,21,19,0.0006788539269629938,0
32,614,0,53,49,0.002717517175983807,3
33,790,0,18,20,0.0006506443458389124,0
34,408,0,16,21,0.00047950247992057955,0
35,736,0,7,18,0.0002849702016852736,0
36,957,0,0,17,0.00015000000000000004,0
37,366,0,11,15,0.00040630002041641835,0
38,918,0,117,11,0.0035023210357358163,6
39,267,0,8,18,0.0002945099560333842,0
40,230,0,6,17,0.0007805522258982476,0
41,996,0,10,13,0.0006611366131168392,0
42,635,0,5,34,0.000626878510566153,0
43,698,0,9,14,0.000230064147934325,0
44,251,0,11,17,0.0005895317340762241,0
45,783,0,3,18,0.00019889822478817658,0
46,819,0,83,38,0.003020303251552021,1
47,141,0,4,19,0.0002640618336795249,0
48,316,0,4,25,0.000602339053063132,0
49,587,0,19,17,0.0008169360950360292,0
50,331,0,12,30,0.0006300999426780234,0
51,295,0,86,100,0.0027685599853128837,3
52,262,0,21,14,0.0008078611813935826,0
53,432,0,0,13,0.00015000000000000004,0
54,862,0,154,37,0.0049071841102353245,189
55,582,0,8,34,0.00025663939252316444,0
56,272,0,27,11,0.0010230973862783,1
57,270,0,17,18,0.0005252150477211458,0
58,987,0,18,73,0.000599961687369601,0
59,319,0,18,39,0.0005720222936444697,0
60,569,0,24,24,0.0010640168036110467,1
61,643,0,52,14,0.0019205790190980556,2
62,142,0,1,17,0.00020322170326195414,0
63,202,0,26,94,0.0011504279355085394,0
64,413,0,1,13,0.00015307853371645906,0
65,196,0,36,20,0.0007578488381094609,0
66,264,0,1,18,0.00015093698728318701,0
67,531,0,33,29,0.0012526756077091757,2
68,252,0,3,13,0.00021002320159839005,0
69,576,0,44,36,0.0014239215938351467,2
70,738,0,1,49,0.0001583536471913323,0
71,299,0,14,9,0.0004548914922529977,0
72,740,0,24,55,0.0007371583250593062,0
73,247,0,18,14,0.000999216448300769,0
74,926,0,52,39,0.001371945827478981,0
75,412,0,1,12,0.00015537305441654754,0
76,389,0,6,17,0.00025333335945713036,0
77,796,0,9,35,0.0008277391513324912,0
78,601,0,157,43,0.004472613141117255,67
79,654,0,25,35,0.0010408069089468646,1
80,261,0,7,22,0.0003050898214787934,0
81,456,0,50,14,0.0016473900094926748,1
82,386,0,16,12,0.0009686821124447624,0
83,982,0,34,19,0.00112576605324998,1
84,909,0,28,20,0.0016301631621062748,3
85,693,0,27,95,0.0010817321922875786,1
86,236,0,9,17,0.0004701659798712345,0
87,501,0,0,19,0.00015000000000000004,0
88,497,0,9,39,0.00040555836444832713,0
89,874,0,111,86,0.0031857179490091233,61
90,452,0,7,28,0.0002988906827063995,0
91,494,0,11,19,0.00048213880880036925,0
92,923,0,10,12,0.0005854189454933859,0
93,279,0,0,23,0.00015000000000000004,0
94,638,0,42,49,0.0016740659214460843,2
95,485,0,1,21,0.0001562407327336211,0
96,568,0,21,16,0.000710316827389293,0
97,108,0,26,73,0.0010898882197774194,14
98,367,0,73,34,0.0019182908179750974,0
99,644,0,75,20,0.0025444404821811798,5
100,785,0,12,19,0.00032147289460557744,0
101,873,0,8,52,0.0006157344634816938,0
102,65,0,38,26,0.0011431357534166051,0
103,902,0,28,15,0.0007869353302935197,0
104,317,0,269,20,0.008048011893841063,157
105,636,0,28,25,0.0008549294450167303,1
106,666,0,10,48,0.0008457850710080177,0
107,789,0,5,34,0.0002413353449909726,0
108,958,0,57,35,0.0014923090292649445,0
109,214,0,2,20,0.0001775246807198833,0
110,97,0,25,14,0.0007856286130594516,1
111,583,0,73,21,0.002412320462786084,1
112,466,0,174,16,0.005868871784485702,611
113,523,0,21,26,0.001179136781437448,0
114,255,0,0,24,0.00015000000000000004,0
115,385,0,17,29,0.0005830383726996281,0
116,545,0,6,16,0.0002006946259811777,0
117,382,0,94,10,0.0028836171198776787,32
118,489,0,18,19,0.0005917820554876453,0
119,513,0,4,9,0.000248380270138824,0
120,780,0,2,17,0.00019037247391226028,0
121,904,0,116,15,0.004287731654306222,116
122,122,0,8,17,0.0007607881290525112,0
123,946,0,0,37,0.00015000000000000004,0
124,60,0,60,34,0.002092814108763548,2
125,844,0,203,17,0.007684735090790368,306
126,372,0,2,13,0.0001739633395865579,0
127,283,0,5,23,0.00020590060396141795,0
128,939,0,16,18,0.0006105418251195948,1
129,608,0,1,24,0.00018538666718267605,0
130,495,0,13,22,0.0004835374956140924,0
131,630,0,13,14,0.0004201125829303391,0
132,596,0,26,38,0.0011520000440485246,0
133,713,0,5,15,0.00042914093538808426,0
134,753,0,34,17,0.000823202870216561,0
135,624,0,27,39,0.0007455201316154024,0
136,312,0,46,36,0.0014838068899422823,3
137,8,0,58,41,0.0017358582488215433,0
138,529,0,76,23,0.0019993520650455235,0
139,876,0,9,23,0.000843737048332654,0
140,101,0,131,19,0.004003674987591383,73
141,615,0,2,17,0.00036859161260367496,0
142,520,0,41,21,0.0013302404971676871,0
143,249,0,14,44,0.0005934822829437399,0
144,278,0,22,16,0.0008853085295354799,0
145,424,0,27,13,0.0009234683571487988,0
146,384,0,19,31,0.0007669822418398726,0
147,395,0,24,33,0.0011627705886675269,0
148,54,0,3,15,0.00018956124752311126,0
149,34,0,4,13,0.0003053561218125435,0
150,271,0,4,44,0.0004908917163640412,0
151,30,0,42,17,0.0017758836794508621,0
152,403,0,34,22,0.001152457568305324,0
153,757,0,44,22,0.0016713457124759852,0
